obj,name
objects/4wd.0.2299.bin,4wd
objects/4wd.1.2446.bin,4wd
objects/4wd.13.270.bin,4wd
objects/4wd.6.16217.bin,4wd
objects/4wd.7.16217.bin,4wd
objects/building.0.16217.bin,building
objects/building.1.16217.bin,building
objects/building.10.2446.bin,building
objects/building.8.2299.bin,building
objects/building.11.2446.bin,building
objects/bus.11.270.bin,bus
objects/bus.12.270.bin,bus
objects/bus.7.2299.bin,bus
objects/bus.3.23124.bin,bus
objects/bus.4.23124.bin,bus
objects/car.62.2299.bin,car
objects/car.67.270.bin,car
objects/car.68.270.bin,car
objects/car.63.3582.bin,car
objects/car.65.3725.bin,car
objects/car.66.4043.bin,car
objects/car.69.5100.bin,car
objects/car.70.5100.bin,car
objects/car.71.5229.bin,car
objects/car.80.12346.bin,car
objects/car.81.12346.bin,car
objects/car.82.12346.bin,car
objects/car.83.12346.bin,car
objects/car.84.12715.bin,car
objects/car.85.12715.bin,car
objects/car.86.12715.bin,car
objects/car.87.12715.bin,car
objects/car.22.17038.bin,car
objects/car.23.17038.bin,car
objects/car.25.17038.bin,car
objects/car.26.17038.bin,car
objects/car.29.17038.bin,car
objects/car.30.17038.bin,car
objects/pedestrian.100.270.bin,pedestrian
objects/pedestrian.101.270.bin,pedestrian
objects/pedestrian.102.270.bin,pedestrian
objects/pedestrian.103.270.bin,pedestrian
objects/pedestrian.104.270.bin,pedestrian
objects/pedestrian.105.270.bin,pedestrian
objects/pedestrian.106.270.bin,pedestrian
objects/pedestrian.49.0.bin,pedestrian
objects/pedestrian.50.0.bin,pedestrian
objects/pedestrian.51.0.bin,pedestrian
objects/pedestrian.52.0.bin,pedestrian
objects/pedestrian.53.0.bin,pedestrian
objects/pedestrian.54.0.bin,pedestrian
objects/pedestrian.55.2299.bin,pedestrian
objects/pedestrian.56.2299.bin,pedestrian
objects/pedestrian.57.2299.bin,pedestrian
objects/pedestrian.58.2299.bin,pedestrian
objects/pedestrian.59.2299.bin,pedestrian
objects/pedestrian.60.2299.bin,pedestrian
objects/pedestrian.61.2446.bin,pedestrian
objects/pedestrian.62.2446.bin,pedestrian
objects/pedestrian.63.2446.bin,pedestrian
objects/pedestrian.151.10974.bin,pedestrian
objects/pedestrian.152.11204.bin,pedestrian
objects/pedestrian.17.17038.bin,pedestrian
objects/pedestrian.16.16217.bin,pedestrian
objects/pedestrian.31.17589.bin,pedestrian
objects/pedestrian.32.17589.bin,pedestrian
objects/pedestrian.33.17589.bin,pedestrian
objects/pedestrian.34.17589.bin,pedestrian
objects/pedestrian.35.17589.bin,pedestrian
objects/pedestrian.36.17589.bin,pedestrian
objects/pedestrian.37.17589.bin,pedestrian
objects/pedestrian.38.17589.bin,pedestrian
objects/pedestrian.45.25322.bin,pedestrian
objects/pedestrian.46.25322.bin,pedestrian
objects/pedestrian.47.25322.bin,pedestrian
objects/pillar.1.25322.bin,pillar
objects/pillar.0.16217.bin,pillar
objects/pillar.19.10974.bin,pillar
objects/pillar.18.10974.bin,pillar
objects/pillar.2.3582.bin,pillar
objects/pillar.3.4868.bin,pillar
objects/pole.11.25322.bin,pole
objects/pole.12.25322.bin,pole
objects/pole.13.25322.bin,pole
objects/pole.10.23124.bin,pole
objects/pole.20.10974.bin,pole
objects/pole.14.8444.bin,pole
objects/traffic_lights.20.0.bin,traffic_lights
objects/traffic_lights.2.2299.bin,traffic_lights
objects/traffic_lights.3.2299.bin,traffic_lights
objects/traffic_lights.5.2446.bin,traffic_lights
objects/traffic_lights.6.2446.bin,traffic_lights
objects/traffic_lights.0.2299.bin,traffic_lights
objects/traffic_lights.1.2299.bin,traffic_lights
objects/traffic_lights.4.2446.bin,traffic_lights
objects/traffic_lights.7.2446.bin,traffic_lights
objects/traffic_lights.8.2738.bin,traffic_lights
objects/traffic_sign.19.0.bin,traffic_sign
objects/traffic_sign.27.270.bin,traffic_sign
objects/traffic_sign.28.270.bin,traffic_sign
objects/traffic_sign.29.270.bin,traffic_sign
objects/traffic_sign.30.270.bin,traffic_sign
objects/traffic_sign.31.270.bin,traffic_sign
objects/traffic_sign.32.270.bin,traffic_sign
objects/traffic_sign.33.270.bin,traffic_sign
objects/traffic_sign.21.2299.bin,traffic_sign
objects/traffic_sign.22.2299.bin,traffic_sign
objects/traffic_sign.23.2446.bin,traffic_sign
